Field=#~Integer~#~50|Field=Description~String~Description~167|Field=Designator~String~Designator~94|Field=Quantity~Integer~Quantity~83|Field=Manufacturer 1~String~Manufacturer 1~116|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~183|Field=Supplier 1~String~Supplier 1~89|Field=Supplier Part Number 1~String~Supplier Part Number 1~155|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~133|Field=Category~String~Category~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal per Board 1~Float~Supplier Subtotal per Board 1~100|ReportField=Currency~EUR|ReportField=ProductionQuantity~2|ReportField=ProjectFileName~gliax_ecg_simple.PrjPcb|ReportField=ProjectFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\Glia-ECG-device\Electronics\gliax_ecg_simple\gliax_ecg_simple.PrjPcb|ReportField=Title~Bill of Materials production v1.0 For BOM Document [gliax_ecg_simple.BomDoc]|ReportField=ReportTime~3:40:38 PM|ReportField=ReportDate~28/01/2019|ReportField=ReportDateTime~28/01/2019 3:40:38 PM|ReportField=OutputName~Bill of Materials production v1.0|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~210|ReportField=TotalActualPrice~195.97|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Company~Irnas|ReportField=Version~v1.0|ReportField=Website~irnas.eu|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~28/01/2019|ReportField=CurrentTime~2:25:01 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\vojislav\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\Glia-ECG-device\Electronics\gliax_ecg_simple\PAGE1-MCU,USB,ADC.SchDoc|ReportField=DocumentName~PAGE1-MCU,USB,ADC.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~17/01/2019|ReportField=Organization~|ReportField=ProjectName~gliax_ecg_simple.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~gliax_ecg_simple.BomDoc|ReportField=DataSourceFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\Glia-ECG-device\Electronics\gliax_ecg_simple\gliax_ecg_simple.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|CAPACITOR, 0603, 8.2PF, 50V|C43, C46|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0603DRNPO9BN8R2%26seller%3DFarnell%26sku%3D721955%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0603DRNPO9BN8R2%26seller%3DFarnell%26sku%3D721955%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CC0603DRNPO9BN8R2{URL.TIP}Manufacturer|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0603DRNPO9BN8R2%26seller%3DFarnell%26sku%3D721955%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}721955{URL.TIP}Supplier|0.51363||CAP0603|8.2pF|EUR|10|200510|0.10273
2|WURTH ELEKTRONIK         7440450039             Surface Mount Power Inductor, WE-LQ Series, 3.9 H, 1.32 A, 2.5 A, Unshielded, 0.14 ohm|L1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D7440450039%26seller%3DDigi-Key%26sku%3D732-4063-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D7440450039%26seller%3DDigi-Key%26sku%3D732-4063-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}7440450039{URL.TIP}Manufacturer|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D7440450039%26seller%3DDigi-Key%26sku%3D732-4063-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-4063-1-ND{URL.TIP}Supplier|1.4||IND54X36|3.9uH/1.32A|EUR|2|541|0.70121
3|MURATA - GRM1885C1H200JA01D - CAPACITOR, MLCC, C0G, 20PF, 50V, 0603|C16, C21, C22, C27|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3D0603N200J500CT%26seller%3DDigi-Key%26sku%3D1292-1498-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Walsin%20Technologies{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3D0603N200J500CT%26seller%3DDigi-Key%26sku%3D1292-1498-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}0603N200J500CT{URL.TIP}Manufacturer|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3D0603N200J500CT%26seller%3DDigi-Key%26sku%3D1292-1498-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1292-1498-1-ND{URL.TIP}Supplier|0.6048||CAP0603|20pF|EUR|10|130140|0.24192
4|MURATA - GRM188R71C104KA01J - CAP, MLCC, X7R, 0.1UF, 16V, 0603|C1, C4, C8, C37, C39, C48, C50, C52, C54, C56, C58, C60, C62, C63, C64, C66, C67, C70, C71, C72, C74, C76|22|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3D0603B104K160CT%26seller%3DFarnell%26sku%3D2496832%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Walsin%20Technologies{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3D0603B104K160CT%26seller%3DFarnell%26sku%3D2496832%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}0603B104K160CT{URL.TIP}Manufacturer|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3D0603B104K160CT%26seller%3DFarnell%26sku%3D2496832%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2496832{URL.TIP}Supplier|5.24||CAP0603|100nF|EUR|44|79819|2.62
5|Cap Ceramic 330pF 50V C0G 5% SMD 0603 125C Paper T/R|C38|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3D0603N331J500CT%26seller%3DFarnell%26sku%3D2496902%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Walsin%20Technologies{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3D0603N331J500CT%26seller%3DFarnell%26sku%3D2496902%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}0603N331J500CT{URL.TIP}Manufacturer|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3D0603N331J500CT%26seller%3DFarnell%26sku%3D2496902%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2496902{URL.TIP}Supplier|0.76351||CAP0603|330pF|EUR|10|438|0.07635
6|BROADCOM LIMITED - HSMS-C190 - LED, RED, 10MCD, 626NM|D11, D12, D15, D16, D17, D18, D19|7|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DVLMS1300-GS08%26seller%3DFarnell%26sku%3D2251484%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DVLMS1300-GS08%26seller%3DFarnell%26sku%3D2251484%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}VLMS1300-GS08{URL.TIP}Manufacturer|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DVLMS1300-GS08%26seller%3DFarnell%26sku%3D2251484%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2251484{URL.TIP}Supplier|3.59||LED0603|LED RED|EUR|25|3946|1
7|RES SMD 22K OHM 1% 1/10W 0603|R69|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060322K0FKEA%26seller%3DFarnell%26sku%3D1469779%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060322K0FKEA%26seller%3DFarnell%26sku%3D1469779%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW060322K0FKEA{URL.TIP}Manufacturer|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060322K0FKEA%26seller%3DFarnell%26sku%3D1469779%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1469779{URL.TIP}Supplier|0.17584||RES0603|22k|EUR|10|19963|0.01758
8|RES SMD 51 OHM 1% 1/10W 0603|R3, R5, R6, R7, R8, R9, R13, R14|8|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060351R0FKEA%26seller%3DFarnell%26sku%3D1652889%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060351R0FKEA%26seller%3DFarnell%26sku%3D1652889%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW060351R0FKEA{URL.TIP}Manufacturer|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060351R0FKEA%26seller%3DFarnell%26sku%3D1652889%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1652889{URL.TIP}Supplier|0.27209||RES0603|51R|EUR|16|746|0.13604
9|TEXAS INSTRUMENTS   ADS1298IPAG.   ANALOG FRONT END, 24 BIT, 100KHZ, TQFP-64|U3|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DADS1298IPAG%26seller%3DFarnell%26sku%3D2323669%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DADS1298IPAG%26seller%3DFarnell%26sku%3D2323669%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ADS1298IPAG{URL.TIP}Manufacturer|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DADS1298IPAG%26seller%3DFarnell%26sku%3D2323669%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2323669{URL.TIP}Supplier|68.23||TSQFP50P1200X1200X120-64N|ADS1298IPAG|EUR|2|254|34.11
10|TEXAS INSTRUMENTS         ISO7821FDWW             Digital Isolator, 100 MBPS, 2 Channel, 11 ns, 2.25 V, 5.5 V, SOIC, 16 Pins|U6|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DISO7821FDWW%26seller%3DDigi-Key%26sku%3D296-43869-5-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DISO7821FDWW%26seller%3DDigi-Key%26sku%3D296-43869-5-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ISO7821FDWW{URL.TIP}Manufacturer|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DISO7821FDWW%26seller%3DDigi-Key%26sku%3D296-43869-5-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-43869-5-ND{URL.TIP}Supplier|13.88||SOIC127P1720X264-16N|ISO7821FDWW|EUR|2|874|6.94
